date,event,surprise_raw,surprise_z,SPY_T=0d,SPY_T+1d,SPY_T+2d,SPY_T+1w,EUR/USD_T=0d,EUR/USD_T+1d,EUR/USD_T+2d,EUR/USD_T+1w,TLT_T=0d,TLT_T+1d,TLT_T+2d,TLT_T+1w,VIX_T=0d,VIX_T+1d,VIX_T+2d,VIX_T+1w,pre_vix
2023-04-01,CPI,1.024000000000001,0.0,0.014094634102164319,0.003810580041571369,-0.0017587411350284592,0.000537217159491694,0.005626793311566241,-0.00929086175945886,0.0006984434953309014,0.0014196254860490039,0.01498108279579787,0.004702865820485101,0.009697770307827841,0.006399294254715462,-0.016824378923376935,-0.008021471644866794,0.01604273929523573,0.014438424566812585,18.700000762939453
2023-05-01,CPI,0.4889999999999759,0.0,-0.0010099401776588336,-0.011239008213736162,-0.018025813990448464,-0.00666623940705703,-0.0019159632229287125,-0.003784392172809497,0.0,0.0007052361783344604,-0.0288345688549257,0.02492004246696129,0.030640898552033315,0.0028121248618960606,0.019011419252944226,0.10572144098292033,0.14054727858238447,0.05597012579604821,16.079999923706055
2023-06-01,CPI,0.6800000000000068,0.0,0.009500919771020007,0.014461245014999052,0.012517029040653015,0.017329471543039144,-0.0035294963065128416,0.006133681714862826,0.0003210067842777565,0.0011457044220802288,0.003923693584230761,-0.010958420338430789,-0.012800759485790767,-0.010279681238489002,-0.12764776183701695,-0.06709260464245012,-0.05878594879993643,-0.12779553027157353,15.649999618530273
2023-07-01,CPI,0.5949999999999704,0.0,0.011800745351871547,0.0011506872100491075,-0.00033835378798083467,-0.008166339271466006,-0.004379772168849418,0.003632209849898495,0.004146975834846663,0.002080124044013863,0.01179475806989559,-0.005668953985110454,-0.015117431768134806,-0.033625040655422635,0.003692776283288886,-0.001471704013179372,0.04341428594285477,0.108903570685722,13.59000015258789
2023-08-01,CPI,1.4730000000000132,0.0,-0.002861457496622182,-0.013910850093086667,-0.01673682479032807,-0.016934035579532238,-0.002419488348771381,0.0009356727174658618,-0.004859167814939719,0.0005062084789811833,-0.016387447060512372,-0.010698592074695323,-0.03352328752712756,-0.014774365665398826,0.022010285268964494,0.15506100503167594,0.14285712329659941,0.14788222690684197,13.930000305175781
2023-09-01,CPI,1.1940000000000168,0.7403975826208042,0.0018651049890316546,-0.0043218347457775075,-0.011015318646707382,-0.006072706829665169,-0.008089840838697683,-0.0062929455470306025,-0.004576827581536765,-0.013489845871478143,-0.015578507731753847,-0.014021870580487896,-0.011597121036054338,-0.012229590672469526,-0.035372111498234333,0.07028266352709411,0.10389607645714002,0.05423988005123176,13.09000015258789
2023-10-01,CPI,0.4200000000000159,-1.0564540605289932,-0.0024270096431922867,-0.0003977366544111382,-0.013778508500032613,0.004818893570812843,0.005439666364406242,0.0002640956540915753,-0.007734842545945308,-0.0014976706537586342,0.00011282525315524125,-0.01674025250153662,-0.03789183741252734,-0.040945697280664585,0.010380640345549091,0.005136994876504623,0.12899544348358494,-0.003995416266852873,17.520000457763672
2023-11-01,CPI,0.4519999999999982,-0.8642051735877776,0.010664854115727464,0.019164288133438852,0.02846253855667922,0.03451943154114467,-0.003385352882468791,0.0007517134694974033,0.0037804280000252413,0.011059799927702089,0.021681946760438733,0.022796928353950766,0.02972989103862127,0.05240903185362408,-0.07001094780299506,-0.07172501076628716,-0.11618262562637519,-0.14344996500179372,16.8700008392334
2023-12-01,CPI,0.5929999999999609,-0.4719556388210274,0.00591589333491107,-0.005249363936772638,-0.005445443963959848,0.0023959105379917534,-0.007439218033148576,-0.00035931137422427376,-0.004985376913582058,-0.009173329924453771,0.018834280466104126,-0.003979015964291622,0.01742131099291052,0.016668597279683627,-0.02244581734833958,0.03562943825713944,0.01741886500675991,-0.022169416503096045,12.630000114440918
2024-01-01,CPI,0.9569999999999936,0.4750722227889549,-0.002894902470887953,-0.005596406341431513,-0.0137173504584249,-0.001493892646319041,-0.0011166791890979025,-0.001545452898675739,-0.01031807885529739,-0.01027473328456777,-0.009019847835549712,-0.005764906632612922,-0.0016182401608674376,-0.01658598985976069,-0.001603885913022304,0.060240964778317446,0.12771085758608863,0.0506024196058284,12.449999809265137
2024-02-01,CPI,1.2690000000000055,1.1892778803465875,0.013088158589899831,0.010527389725905853,0.006847942874764181,0.018642705440203987,-0.0036408998446917323,0.006546518613900387,-0.0022099782797830956,-0.0026077500955810915,0.01961574006719652,-0.022088791789998487,-0.04183643735433012,-0.04275241272269778,-0.03275263097802588,-0.0021613640290953115,-0.01512968562071452,-0.07853026971187424,13.880000114440918
2024-03-01,CPI,1.3780000000000427,1.3025331367697022,0.009388311206947596,-0.0010724008699941237,-0.011055845029872892,-0.0022033395710677013,-0.0031226566602047586,0.0034913358163061988,0.004646030733464065,0.013435878244448892,0.006231021089589434,-0.004022385157418983,0.010162000162593408,0.013337669157568394,-0.021641788814083178,0.028985516734729627,0.10297486016959109,0.12433258254211461,13.109999656677246
2024-04-01,CPI,0.6779999999999973,-0.493301756412379,-0.001739793294128235,-0.006358020206171755,-0.005266448224901442,-0.006587941099891166,-0.00016178799477860998,-0.005143150317636254,-0.0022398837147011765,0.003498168407135508,-0.01864104700003273,-0.005510696142289161,-0.005726724730310751,-0.01264178552635285,0.04919288073705462,0.07032967508978862,0.04981687356625717,0.11282051317880129,13.649999618530273
2024-05-01,CPI,0.1519999999999868,-1.6274264966591974,-0.0032471881788587965,0.009353415605142669,0.02186465806564569,0.0336563830539554,-0.004586615036051914,0.005157048926138216,0.006235979021772282,0.007869349992115339,0.007370970955496513,0.004291442647698874,0.014453797851317519,0.01840582487494699,-0.01661337262268487,-0.046133854600920766,-0.12345682454964606,-0.15529566536752556,15.390000343322754
2024-06-01,CPI,-0.13100000000002865,-1.9121325327186793,0.009108206775448316,0.0008154236490592538,0.0019342222558517317,0.012590770118394264,0.0031097347455194516,0.0016279400589763835,0.0066425719362585055,0.005447113621678701,0.006789626763289973,0.016174618448147625,0.028044806483887925,0.015065141753904958,-0.10711818674023646,0.014705849788028908,0.018575833568184243,-0.05417955148077128,12.920000076293945
